name,sp,w,value
Base,G.braueri,0.358,0.00094737620258688
Base,G.fraseri,0.358,0.00210637990366004
Base,G.nicholsi,0.358,0.000689171105778282
Base,K.anderssoni,0.358,0.00120464320918059
Base,N.achirus,0.358,0.000811515472800595
Base,N.coatsi,0.358,3.01408559645724e-07
Base,P.antarcticum,0.358,0.000796022304612734
Base,P.bolini,0.358,0.00173971110796832
Base,P.gracilis,0.358,5.72993147870473e-08
Base,B.antarcticus,0.433,0.000978492521439364
Base,C.gunnari,0.433,4.55966546117727e-08
Base,C.microdon,0.433,0.00187696883632814
Base,C.piriei,0.433,1.22583955830635e-07
Base,D.eleginoides,0.433,6.01215309803697e-10
Base,D.mawsoni,0.433,1.57856503042573e-10
Base,E.antarctica,0.433,0.00137905134585327
Base,E.carlsbergi,0.433,0.000401011266836882
Base,G.braueri,0.433,0.000811937036336972
Base,G.fraseri,0.433,0.00179840083859516
Base,G.nicholsi,0.433,0.000586969714602272
Base,K.anderssoni,0.433,0.00101305440290981
Base,N.achirus,0.433,0.000701436364166549
Base,N.coatsi,0.433,2.6476738842117e-07
Base,P.antarcticum,0.433,0.000691302751203965
Base,P.bolini,0.433,0.0014540636208772
Base,P.gracilis,0.433,5.04691017104562e-08
Base,B.antarcticus,0.523,0.000832237134970021
Base,C.gunnari,0.523,3.98002031834005e-08
Base,C.microdon,0.523,0.00169645129643834
